FirstName                                          LastName                                           JobTitle                                           rate                  AverageRate           MaximumRate           DiffFromAvg           PercentOfMaxRate
Ranjit                                             Varkey Chudukatil                                  Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
William                                            Vong                                               Scheduling Assistant                               8.62                  17.7588               125.50                -9.1388               6.86
William                                            Vong                                               Scheduling Assistant                               13.50                 17.7588               125.50                -4.2588               10.75
William                                            Vong                                               Scheduling Assistant                               16.00                 17.7588               125.50                -1.7588               12.74
Rob                                                Walters                                            Senior Tool Designer                               8.62                  17.7588               125.50                -9.1388               6.86
Rob                                                Walters                                            Senior Tool Designer                               23.72                 17.7588               125.50                5.9612                18.90
Rob                                                Walters                                            Senior Tool Designer                               29.8462               17.7588               125.50                12.0874               23.78
Bryan                                              Walton                                             Accounts Receivable Specialist                     19.00                 17.7588               125.50                1.2412                15.13
Jian Shuo                                          Wang                                               Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Jason                                              Watters                                            Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Patrick                                            Wedge                                              Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Brian                                              Welcker                                            Vice President of Sales                            72.1154               17.7588               125.50                54.3566               57.46
Jill                                               Williams                                           Marketing Specialist                               14.4231               17.7588               125.50                -3.3357               11.49
Dan                                                Wilson                                             Database Administrator                             38.4615               17.7588               125.50                20.7027               30.64
John                                               Wood                                               Marketing Specialist                               14.4231               17.7588               125.50                -3.3357               11.49
Sheela                                             Word                                               Purchasing Manager                                 9.86                  17.7588               125.50                -7.8988               7.85
Sheela                                             Word                                               Purchasing Manager                                 22.50                 17.7588               125.50                4.7412                17.92
Sheela                                             Word                                               Purchasing Manager                                 30.00                 17.7588               125.50                12.2412               23.90
A. Scott                                           Wright                                             Master Scheduler                                   23.5577               17.7588               125.50                5.7989                18.77
Peng                                               Wu                                                 Quality Assurance Supervisor                       21.6346               17.7588               125.50                3.8758                17.23
David                                              Yalovsky                                           Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Garrett                                            Young                                              Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Nuan                                               Yu                                                 Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Gary                                               Yukish                                             Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Eugene                                             Zabokritski                                        Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Kimberly                                           Zimmerman                                          Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Michael                                            Zwilling                                           Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92

(316 rows affected)


Completion time: 2022-09-09T17:05:50.1038363+05:30
